epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5324,1.02785,2.03472,1.42196,0.50468,0.42757,0.4234,0.23003,1.32324,2.40284,1.68237,0.000662857,0.000662857,0.000662857
2,56.7154,1.16294,1.70515,1.5178,0.52498,0.38045,0.41035,0.20344,1.66599,2.28889,2.08153,0.00132514,0.00132514,0.00132514
3,82.724,1.16696,1.64537,1.547,0.46771,0.47469,0.44237,0.22805,1.46608,2.11808,1.90227,0.00198302,0.00198302,0.00198302
4,108.756,1.19175,1.62116,1.57707,0.46161,0.46422,0.41197,0.22431,1.46496,2.29086,1.80446,0.0019802,0.0019802,0.0019802
5,134.836,1.17269,1.55635,1.55642,0.46989,0.46073,0.41275,0.21758,1.45771,2.19755,1.8041,0.0019736,0.0019736,0.0019736
6,160.918,1.1537,1.53516,1.53666,0.64352,0.47818,0.54481,0.32308,1.32561,1.83185,1.80386,0.001967,0.001967,0.001967
7,186.987,1.08804,1.45061,1.50002,0.57026,0.51832,0.51524,0.29925,1.31501,1.74844,1.67671,0.0019604,0.0019604,0.0019604
8,213.087,1.06405,1.43312,1.48131,0.65882,0.47644,0.55138,0.34881,1.22941,1.71859,1.57788,0.0019538,0.0019538,0.0019538
9,239.177,1.06026,1.38345,1.47891,0.50668,0.49389,0.51729,0.31203,1.29038,1.64403,1.63475,0.0019472,0.0019472,0.0019472
10,265.253,1.05444,1.39001,1.46362,0.53644,0.49883,0.48184,0.28238,1.39245,1.80936,1.71433,0.0019406,0.0019406,0.0019406
11,291.329,1.04433,1.3645,1.4727,0.6861,0.46946,0.56171,0.37307,1.1446,1.49999,1.50221,0.001934,0.001934,0.001934
12,317.504,1.05325,1.39658,1.46788,0.63996,0.52735,0.59136,0.36854,1.18276,1.64713,1.54571,0.0019274,0.0019274,0.0019274
13,343.669,1.03248,1.33398,1.46238,0.64027,0.52356,0.55118,0.34603,1.2536,1.5087,1.61041,0.0019208,0.0019208,0.0019208
14,369.805,1.00214,1.34748,1.44572,0.66502,0.49564,0.57172,0.37811,1.18621,1.55066,1.54798,0.0019142,0.0019142,0.0019142
15,396.041,1.00191,1.32059,1.43953,0.58221,0.53578,0.58315,0.40642,1.06691,1.39972,1.45889,0.0019076,0.0019076,0.0019076
16,422.299,0.97626,1.27531,1.39948,0.61738,0.51533,0.58005,0.37376,1.1322,1.48321,1.48569,0.001901,0.001901,0.001901
17,448.524,0.97188,1.29444,1.42421,0.58585,0.55793,0.58941,0.37535,1.15834,1.53445,1.5035,0.0018944,0.0018944,0.0018944
18,474.777,0.93943,1.24602,1.38344,0.63785,0.52705,0.56616,0.38828,1.08429,1.68749,1.47068,0.0018878,0.0018878,0.0018878
19,500.952,0.95768,1.28547,1.40701,0.56487,0.53752,0.56234,0.36295,1.17896,1.52621,1.51897,0.0018812,0.0018812,0.0018812
20,527.166,0.92069,1.23223,1.37564,0.60542,0.56545,0.60366,0.4081,1.10483,1.34005,1.43847,0.0018746,0.0018746,0.0018746
21,553.424,0.93288,1.22048,1.38655,0.68818,0.54307,0.63831,0.44146,1.04641,1.28785,1.42461,0.001868,0.001868,0.001868
22,579.782,0.95428,1.26452,1.39237,0.59579,0.55048,0.59014,0.38655,1.11557,1.42549,1.46172,0.0018614,0.0018614,0.0018614
23,606.062,0.91177,1.20564,1.36158,0.62993,0.55552,0.617,0.42175,1.09083,1.26849,1.462,0.0018548,0.0018548,0.0018548
24,632.349,0.9103,1.19735,1.36175,0.70463,0.52458,0.62189,0.44967,1.0279,1.2417,1.39878,0.0018482,0.0018482,0.0018482
25,658.684,0.89527,1.19715,1.34794,0.64633,0.60908,0.6516,0.44108,1.0722,1.2511,1.42623,0.0018416,0.0018416,0.0018416
26,684.915,0.8683,1.14205,1.32662,0.62611,0.5728,0.61743,0.42804,1.06313,1.40282,1.46791,0.001835,0.001835,0.001835
27,711.322,0.92942,1.22069,1.35602,0.63696,0.58484,0.63502,0.445,1.03337,1.33918,1.38634,0.0018284,0.0018284,0.0018284
28,737.645,0.85913,1.16132,1.33329,0.68913,0.5445,0.62346,0.44581,1.00824,1.23168,1.37321,0.0018218,0.0018218,0.0018218
29,763.806,0.89182,1.15847,1.33682,0.68251,0.53273,0.60538,0.42179,1.04521,1.38088,1.40882,0.0018152,0.0018152,0.0018152
30,789.979,0.85548,1.13533,1.3201,0.69326,0.57587,0.66306,0.4526,1.04141,1.22125,1.40573,0.0018086,0.0018086,0.0018086
31,816.284,0.89287,1.1519,1.33366,0.69202,0.52705,0.63731,0.44413,1.00418,1.21908,1.36794,0.001802,0.001802,0.001802
32,842.578,0.87963,1.14274,1.33449,0.69276,0.56666,0.66688,0.45827,1.05597,1.22368,1.39788,0.0017954,0.0017954,0.0017954
33,868.837,0.88501,1.15803,1.35005,0.65138,0.5986,0.65432,0.44715,1.06422,1.30878,1.43502,0.0017888,0.0017888,0.0017888
34,895.107,0.85731,1.12324,1.33245,0.67388,0.56719,0.63114,0.41621,1.06705,1.32275,1.41337,0.0017822,0.0017822,0.0017822
35,921.396,0.86238,1.16202,1.33267,0.68146,0.5637,0.65155,0.45492,1.05132,1.23772,1.41476,0.0017756,0.0017756,0.0017756
36,947.68,0.86753,1.13952,1.33822,0.66916,0.55323,0.64927,0.4632,1.00202,1.19434,1.37653,0.001769,0.001769,0.001769
37,973.985,0.82015,1.11526,1.30101,0.70679,0.5511,0.65776,0.47709,0.94484,1.2051,1.34565,0.0017624,0.0017624,0.0017624
38,1000.29,0.83431,1.11727,1.30996,0.65616,0.5637,0.64091,0.45674,1.00103,1.23949,1.37993,0.0017558,0.0017558,0.0017558
39,1026.63,0.86566,1.12627,1.33235,0.62979,0.55221,0.61822,0.42817,1.0159,1.2555,1.38638,0.0017492,0.0017492,0.0017492
40,1052.96,0.82674,1.07362,1.31057,0.75673,0.52531,0.65687,0.46161,0.99392,1.20605,1.35728,0.0017426,0.0017426,0.0017426
41,1079.29,0.82888,1.09898,1.31108,0.68598,0.55672,0.63837,0.45722,0.99826,1.22005,1.39263,0.001736,0.001736,0.001736
42,1105.55,0.83374,1.0861,1.30255,0.7078,0.53927,0.63366,0.44894,0.98681,1.28384,1.34102,0.0017294,0.0017294,0.0017294
43,1131.91,0.8261,1.1013,1.29604,0.67972,0.54625,0.63657,0.45395,0.98275,1.27826,1.3632,0.0017228,0.0017228,0.0017228
44,1158.22,0.82322,1.08663,1.29713,0.68178,0.5833,0.68,0.48972,0.96775,1.14913,1.32511,0.0017162,0.0017162,0.0017162
45,1184.52,0.80157,1.05666,1.2692,0.73014,0.54974,0.65719,0.48186,0.93926,1.18022,1.30808,0.0017096,0.0017096,0.0017096
